수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-06-23 오후 9:16:37,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:37.879
ProcessGuid: {c00189fc-45a0-6859-995a-000000006900}
ProcessId: 394760
Image: C:\Windows\System32\LocationNotificationWindows.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:16:35,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:35.260
ProcessGuid: {c00189fc-4549-6859-935a-000000006900}
ProcessId: 393276
Image: C:\Windows\System32\wbem\WmiPrvSE.exe
User: NT AUTHORITY\NETWORK SERVICE"
정보,2025-06-23 오후 9:16:07,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:07.145
ProcessGuid: {c00189fc-454a-6859-945a-000000006900}
ProcessId: 393716
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:14:19,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:14:19.980
ProcessGuid: {c00189fc-4511-6859-915a-000000006900}
ProcessId: 388308
Image: C:\Program Files (x86)\Microsoft\Edge\Application\137.0.3296.93\identity_helper.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:14:17,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:14:17.901
ProcessGuid: {c00189fc-44fa-6859-8f5a-000000006900}
ProcessId: 387704
Image: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:14:09,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:14:09.560
ProcessGuid: {c00189fc-4511-6859-905a-000000006900}
ProcessId: 394428
Image: C:\Program Files (x86)\Microsoft\Edge\Application\137.0.3296.93\identity_helper.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:13:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:13:45.074
ProcessGuid: {c00189fc-44e0-6859-8d5a-000000006900}
ProcessId: 312252
Image: C:\Program Files\Microsoft Office\root\Office16\SDXHelper.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:13:33,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:13:33.951
ProcessGuid: {c00189fc-44e7-6859-8e5a-000000006900}
ProcessId: 394508
Image: C:\Program Files\Microsoft OneDrive\25.095.0518.0002\FileCoAuth.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:13:30,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:13:30.138
ProcessGuid: {c00189fc-44dc-6859-8c5a-000000006900}
ProcessId: 394244
Image: C:\Program Files\Microsoft OneDrive\25.095.0518.0002\OneDriveLauncher.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:13:23,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:13:23.731
ProcessGuid: {c00189fc-44dc-6859-8b5a-000000006900}
ProcessId: 364824
Image: C:\Program Files\Microsoft Office\root\Office16\SDXHelper.exe
User: DESKTOP-GHQF7EL\wah43"
